SampleID,Cluster1,Cluster14,Cluster6,Cluster12,Cluster24,Cluster23,Cluster17,Cluster54,Cluster13,Cluster20,Cluster16,Cluster46,Cluster21,Cluster7,Cluster19,Cluster26,Cluster32,Cluster52,Cluster47,Cluster30,Cluster29,Cluster48,Cluster3,Cluster43,Cluster25,Cluster22,Cluster44,Cluster5,Cluster8,Cluster10,Cluster11,datetime,batch,batch_day,days_passed,elapsed_time
240319_132915,377.764456341864,312.967050221472,4021.95399160459,73.4527153603718,960.689188745405,209.748373973693,61.9189844343956,1584.24848443592,147.463976309561,132.265391941193,838.246557600118,386.066025218443,253.018172260325,47.6032198334569,54.5445213849605,240.963116445291,54.5496077511349,2521.48452679064,276.837060588208,224.890888999647,314.317060860411,34.5370109605791,82.53121462289,59.4732032833152,28.8996684882104,7.47383428477873,35.4845307338832,22.6797161002139,12.5156894347238,17.6033818278972,44.7643655535339,2024-03-19T13:29:15Z,1,2024-03-19,0,0
240319_144050,356.131150271358,344.031417431643,3791.34385530479,73.8274807999269,964.731148233017,201.670241412551,67.9997682965313,1462.79999533921,153.448992067192,135.47213568058,863.557145372513,400.71783411095703,256.342497768141,38.4830478979677,59.500834025899,281.085275776608,62.7362309971681,2753.93468310784,199.194318830746,201.183272079356,324.394764504457,42.7418561851568,74.7439424949073,52.1930048512486,34.2388417298913,8.22836833656033,37.0234689484507,23.9212647154138,8.59728358213604,16.9003398037257,38.4845787178103,2024-03-19T14:40:50Z,1,2024-03-19,0,1.1930555555555555
240319_155225,358.349166115662,357.556277700715,4037.56990492372,68.7879327735678,983.810538047663,209.142236261119,67.2809840944467,1134.19897960185,155.536940571864,140.6880675469,823.341045385175,440.660663186956,253.868569108336,45.4954862507558,60.749327958074,268.492158669585,56.9111044207502,2603.81627699367,152.207683036685,171.30921025478,308.234775727891,41.8469686744697,75.4997050344366,47.2424972228522,31.9892204809396,8.18856303115948,37.3865871711085,29.3828928396865,15.5546099668182,21.718519278168,106.283622330158,2024-03-19T15:52:25Z,1,2024-03-19,0,2.386111111111111
240319_170400,346.959045051695,349.245817977631,3825.64607445854,66.2018415619883,1103.45053235724,179.047794966427,77.1081161442383,999.026868655115,174.900769547904,139.75958555169,801.697819607119,488.653073918404,270.758821761993,32.2779698254781,79.3910532711035,276.20766602634,67.3643982559426,3009.22218260516,209.721450795971,146.712847231843,342.870852595249,52.8688472254108,50.3161645402217,37.9083225515301,35.9617748490374,8.71489208238586,41.6640939646588,31.4901946797279,15.5031943095448,16.8829227877296,51.1975497318547,2024-03-19T17:04:00Z,1,2024-03-19,0,3.5791666666666666
240319_181535,356.846852249365,387.977116038442,3939.9391297588,65.5206525169041,1091.40022926331,201.966574566034,80.2195766467413,1916.26404369775,189.708119759711,170.788477971562,802.636923109198,534.469811970253,266.249473897018,26.6587095716437,81.8641395364141,343.574081745924,78.7801626311913,3151.12014829692,442.396919139094,107.197202055811,372.540678570635,46.9089719029505,58.2128247441824,38.219642574588804,38.9239267691059,12.6485725297646,39.343177513631296,25.9956580153233,17.4101050910399,17.1981250823209,58.8822839068354,2024-03-19T18:15:35Z,1,2024-03-19,0,4.772222222222222
240319_192710,351.047060489336,486.772257024374,4293.96533484763,63.5453962976586,950.008099533464,199.88193735064,90.3257784863201,1514.73733254416,192.030112817096,180.131361331596,893.349682331822,581.89974982757,264.178538532042,30.1827092807243,91.3192437574977,358.068948239548,83.3194817952555,3287.53323703797,149.621466388934,87.5534339982539,386.011043702306,69.0190566613465,58.1842688265489,32.6416320231023,42.3417761470007,12.8326753374364,52.762194352536,65.6090167005323,20.8033279312303,40.4154035597135,346.64974431697,2024-03-19T19:27:10Z,1,2024-03-19,0,5.965277777777778
240319_203846,336.41627811712,494.837617912249,4532.01963960825,65.4363364560294,1073.58857032026,223.482261469262,101.750947492405,1558.16234789739,209.9558442313,196.460540429234,957.623638171651,766.767980248395,336.273482427438,28.7564339879657,100.150317823023,369.607203660845,102.350967861721,3502.93977512792,88.5253901832966,84.7627859016005,412.58731309892,86.9268883164002,59.6875261790396,34.5807999948314,50.7946451539311,13.8446946221667,66.9314755401462,51.1844513072138,25.3859908567757,38.4563764611312,102.652175063861,2024-03-19T20:38:46Z,1,2024-03-19,0,7.158611111111111
240319_215020,382.362631939797,419.668481034801,4315.14245261786,68.0252277128753,956.626699477875,225.655181188625,85.5901908521124,1504.66114781757,182.450616314947,175.886176318686,818.667505001766,565.365785005831,333.838960344551,41.8790000130929,88.4844279377682,320.172640362031,73.2641330183448,3155.17741600584,113.296072705286,115.414297960709,359.187729327312,60.1069411541896,83.0457554472902,45.232218449982,41.8430303321772,12.5966815985742,50.8048527095461,53.1833034471991,26.3905706091044,43.2570210128045,556.803273258944,2024-03-19T21:50:20Z,1,2024-03-19,0,8.35138888888889
240319_230155,360.945208502164,414.517005768091,4282.98796566668,67.1363531473187,947.663037124836,217.40567479966,83.183183064526,1992.9604869453,184.130946137587,195.001923563729,795.506115494393,580.32167243169,326.855331264093,35.78475002183,86.4471192066008,335.424543853268,74.5378686242232,3217.10081800055,258.992894070033,95.1244357481632,348.001518747276,71.7593057489591,83.0658928123263,34.6470814272616,45.271554667272,13.233219389503,51.1561585572116,43.0093619594127,27.0998426306951,37.8253337061471,178.331509159824,2024-03-19T23:01:55Z,1,2024-03-19,0,9.544444444444444
240320_001331,367.639290969324,426.005190237775,4263.63837184544,65.2367358342964,949.534474693128,195.411297388775,85.2886204029744,2029.44943515894,187.818095377517,185.90142816249,866.893442957998,614.637291643645,295.87738363422,29.3020917638257,87.682847586799,351.4807347254,77.3237034832494,3251.89588199335,225.64205707177,78.304899956068,364.185554406887,74.1666474434861,70.023994002175,31.686178018531,43.9569144176969,9.62386682495094,52.2181982624236,45.9142325524221,25.661599362112,29.1453263784777,106.95802515659,2024-03-20T00:13:31Z,1,2024-03-19,0,10.737777777777778
