SampleID,FileName,Class,Day,Batch
240319_132915,240319_132915.mea,Urine_pool,240319,1
240319_144050,240319_144050.mea,Urine_pool,240319,1
240319_155225,240319_155225.mea,Urine_pool,240319,1
240319_170400,240319_170400.mea,Urine_pool,240319,1
240319_181535,240319_181535.mea,Urine_pool,240319,1
240319_192710,240319_192710.mea,Urine_pool,240319,1
240319_203846,240319_203846.mea,Urine_pool,240319,1
240319_215020,240319_215020.mea,Urine_pool,240319,1
240319_230155,240319_230155.mea,Urine_pool,240319,1
240320_001331,240320_001331.mea,Urine_pool,240319,1
240320_012507,240320_012507.mea,Urine_pool,240320,1
240320_023641,240320_023641.mea,Urine_pool,240320,1
240320_034818,240320_034818.mea,Urine_pool,240320,1
240320_045952,240320_045952.mea,Urine_pool,240320,1
240320_061128,240320_061128.mea,Urine_pool,240320,1
240320_131536,240320_131536.mea,Urine_pool,240320,2
240320_142710,240320_142710.mea,Urine_pool,240320,2
240320_153845,240320_153845.mea,Urine_pool,240320,2
240320_165020,240320_165020.mea,Urine_pool,240320,2
240320_180157,240320_180157.mea,Urine_pool,240320,2
240320_191332,240320_191332.mea,Urine_pool,240320,2
240320_202507,240320_202507.mea,Urine_pool,240320,2
240320_213641,240320_213641.mea,Urine_pool,240320,2
240320_224816,240320_224816.mea,Urine_pool,240320,2
240320_235952,240320_235952.mea,Urine_pool,240320,2
240321_011128,240321_011128.mea,Urine_pool,240321,2
240321_022302,240321_022302.mea,Urine_pool,240321,2
240321_033439,240321_033439.mea,Urine_pool,240321,2
240321_044614,240321_044614.mea,Urine_pool,240321,2
240321_055749,240321_055749.mea,Urine_pool,240321,2
240321_144442,240321_144442.mea,Urine_pool,240321,3
240321_155617,240321_155617.mea,Urine_pool,240321,3
240321_170753,240321_170753.mea,Urine_pool,240321,3
240321_181928,240321_181928.mea,Urine_pool,240321,3
240321_193103,240321_193103.mea,Urine_pool,240321,3
240321_204238,240321_204238.mea,Urine_pool,240321,3
240321_215414,240321_215414.mea,Urine_pool,240321,3
240321_230548,240321_230548.mea,Urine_pool,240321,3
240322_001725,240322_001725.mea,Urine_pool,240322,3
240322_012901,240322_012901.mea,Urine_pool,240322,3
240322_024037,240322_024037.mea,Urine_pool,240322,3
240322_035211,240322_035211.mea,Urine_pool,240322,3
240322_050347,240322_050347.mea,Urine_pool,240322,3
240322_061523,240322_061523.mea,Urine_pool,240322,3
240322_072659,240322_072659.mea,Urine_pool,240322,3
240403_133219,240403_133219.mea,Urine_pool,240403,4
240403_144354,240403_144354.mea,Urine_pool,240403,4
240403_155529,240403_155529.mea,Urine_pool,240403,4
240403_170703,240403_170703.mea,Urine_pool,240403,4
240403_181840,240403_181840.mea,Urine_pool,240403,4
240403_193015,240403_193015.mea,Urine_pool,240403,4
240403_204151,240403_204151.mea,Urine_pool,240403,4
240403_215324,240403_215324.mea,Urine_pool,240403,4
240403_230501,240403_230501.mea,Urine_pool,240403,4
240404_001636,240404_001636.mea,Urine_pool,240404,4
240404_012812,240404_012812.mea,Urine_pool,240404,4
240404_023945,240404_023945.mea,Urine_pool,240404,4
240404_035122,240404_035122.mea,Urine_pool,240404,4
240404_050258,240404_050258.mea,Urine_pool,240404,4
240404_061432,240404_061432.mea,Urine_pool,240404,4
240404_140311,240404_140311.mea,Urine_pool,240404,5
240404_151446,240404_151446.mea,Urine_pool,240404,5
240404_162622,240404_162622.mea,Urine_pool,240404,5
240404_173756,240404_173756.mea,Urine_pool,240404,5
240404_184933,240404_184933.mea,Urine_pool,240404,5
240404_200108,240404_200108.mea,Urine_pool,240404,5
240404_211242,240404_211242.mea,Urine_pool,240404,5
240404_222416,240404_222416.mea,Urine_pool,240404,5
240404_233553,240404_233553.mea,Urine_pool,240404,5
240405_004729,240405_004729.mea,Urine_pool,240405,5
240405_015905,240405_015905.mea,Urine_pool,240405,5
240405_031039,240405_031039.mea,Urine_pool,240405,5
240405_042216,240405_042216.mea,Urine_pool,240405,5
240405_053350,240405_053350.mea,Urine_pool,240405,5
240405_064526,240405_064526.mea,Urine_pool,240405,5
240409_135514,240409_135514.mea,Urine_pool,240409,6
240409_150546,240409_150546.mea,Urine_pool,240409,6
240409_161928,240409_161928.mea,Urine_pool,240409,6
240409_173102,240409_173102.mea,Urine_pool,240409,6
240409_184237,240409_184237.mea,Urine_pool,240409,6
240409_195412,240409_195412.mea,Urine_pool,240409,6
240409_210548,240409_210548.mea,Urine_pool,240409,6
240409_221722,240409_221722.mea,Urine_pool,240409,6
240409_232900,240409_232900.mea,Urine_pool,240409,6
240410_004035,240410_004035.mea,Urine_pool,240410,6
240410_015210,240410_015210.mea,Urine_pool,240410,6
240410_030344,240410_030344.mea,Urine_pool,240410,6
240410_041521,240410_041521.mea,Urine_pool,240410,6
240410_052656,240410_052656.mea,Urine_pool,240410,6
240410_063832,240410_063832.mea,Urine_pool,240410,6
240410_132903,240410_132903.mea,Urine_pool,240410,7
240410_144038,240410_144038.mea,Urine_pool,240410,7
240410_155214,240410_155214.mea,Urine_pool,240410,7
240410_170348,240410_170348.mea,Urine_pool,240410,7
240410_181522,240410_181522.mea,Urine_pool,240410,7
240410_192657,240410_192657.mea,Urine_pool,240410,7
240410_203832,240410_203832.mea,Urine_pool,240410,7
240410_215007,240410_215007.mea,Urine_pool,240410,7
240410_230144,240410_230144.mea,Urine_pool,240410,7
240411_001319,240411_001319.mea,Urine_pool,240411,7
240411_012454,240411_012454.mea,Urine_pool,240411,7
240411_023629,240411_023629.mea,Urine_pool,240411,7
240411_034804,240411_034804.mea,Urine_pool,240411,7
240411_045939,240411_045939.mea,Urine_pool,240411,7
240411_061116,240411_061116.mea,Urine_pool,240411,7
240411_135904,240411_135904.mea,Urine_pool,240411,8
240411_154738,240411_154738.mea,Urine_pool,240411,8
240411_165914,240411_165914.mea,Urine_pool,240411,8
240411_181050,240411_181050.mea,Urine_pool,240411,8
240411_192226,240411_192226.mea,Urine_pool,240411,8
240411_203400,240411_203400.mea,Urine_pool,240411,8
240411_214534,240411_214534.mea,Urine_pool,240411,8
240411_225711,240411_225711.mea,Urine_pool,240411,8
240412_000848,240412_000848.mea,Urine_pool,240412,8
240412_012023,240412_012023.mea,Urine_pool,240412,8
240412_023157,240412_023157.mea,Urine_pool,240412,8
240412_034331,240412_034331.mea,Urine_pool,240412,8
240412_045509,240412_045509.mea,Urine_pool,240412,8
240412_060644,240412_060644.mea,Urine_pool,240412,8
240412_071819,240412_071819.mea,Urine_pool,240412,8
240412_131732,240412_131732.mea,Urine_pool,240412,9
240412_142906,240412_142906.mea,Urine_pool,240412,9
240412_154041,240412_154041.mea,Urine_pool,240412,9
240412_165216,240412_165216.mea,Urine_pool,240412,9
240412_180351,240412_180351.mea,Urine_pool,240412,9
240412_191526,240412_191526.mea,Urine_pool,240412,9
240412_202702,240412_202702.mea,Urine_pool,240412,9
240412_213837,240412_213837.mea,Urine_pool,240412,9
240412_225011,240412_225011.mea,Urine_pool,240412,9
240413_000146,240413_000146.mea,Urine_pool,240413,9
240413_011321,240413_011321.mea,Urine_pool,240413,9
240413_022454,240413_022454.mea,Urine_pool,240413,9
240413_033632,240413_033632.mea,Urine_pool,240413,9
240413_044808,240413_044808.mea,Urine_pool,240413,9
240413_055945,240413_055945.mea,Urine_pool,240413,9
